case_name,case_url,filings,filed_date,state_ags,case_status,issue_area,executive_action,last_case_update
"State of Oregon v. Kennedy (D. Or.)

6:25-cv-02409",https://www.courtlistener.com/docket/72077914/state-of-oregon-v-kennedy/,Complaint,2025-12-23,State A.G. Plaintiffs,Awaiting Court Ruling,"Government Grants, Loans, and Assistance",Access to Health Care,2025-12-23
"American Academy of Pediatrics v. Robert F. Kennedy Jr. (D. Mass.)

1:25-cv-11916",https://www.courtlistener.com/docket/70722326/american-academy-of-pediatrics-v-kennedy/,"Complaint

First Amended Complaint

2025-07-23

Second Amended Complaint

2025-09-03

Third Amended Complaint

2025-11-05

Fourth Amended Complaint

2026-02-17",2025-07-07,,Awaiting Court Ruling,"Government Grants, Loans, and Assistance",Changes to Health Directives and Related Regulations,2026-02-17
"National Alliance to End Homelessness v. Turner (D.R.I.)

1:25-cv-00447",https://www.courtlistener.com/docket/71316650/national-alliance-to-end-homelessness-v-turner/,Complaint,2025-09-11,,Government Action Temporarily Blocked,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-09-14
"City of New York v. Trump et al. (S.D.N.Y.)

1:25-cv-01510",https://www.courtlistener.com/docket/69663207/v-trump/,"Complaint

First Amended Complaint

2025-03-20

Second Amended Complaint

2025-06-16",2025-02-21,,Awaiting Court Ruling,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-06-16
"Climate United Fund v. Citibank (D.D.C.)

1:24-cv-00698",https://www.courtlistener.com/docket/69718818/climate-united-fund-v-citibank-na/,Complaint,2025-03-08,,Government Action Not Blocked Pending Appeal,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-12-17
"Massachusetts Fair Housing Center v. Department of Housing and Urban Development (D. Mass.)

3:25-cv-30041",https://www.courtlistener.com/docket/69733424/massachusetts-fair-housing-center-v-department-of-housing-and-urban/,Complaint,2025-03-13,,Case Closed,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-12-22
"American Public Health Association v. National Institutes of Health (D. Mass.)

1:25-cv-10787",https://www.courtlistener.com/docket/69835536/american-public-health-association-v-national-institutes-of-health/,Complaint,2025-04-02,,Government Action Blocked,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2026-01-06
"Commonwealth of Massachusetts v. Kennedy (D. Mass.)

1:25-cv-10814",https://www.courtlistener.com/docket/69843493/commonwealth-of-massachusetts-v-kennedy-jr/,Complaint,2025-04-04,State A.G. Plaintiffs,Government Action Blocked,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2026-01-06
"State of New York v. United States Department of Education (S.D.N.Y.)

1:25-cv-02990",https://www.courtlistener.com/docket/69874014/state-of-new-york-v-united-states-department-of-education/,Complaint,2025-04-10,State A.G. Plaintiffs,Government Action Temporarily Blocked,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-11-17
"American Educational Research Association v. Department of Education (D. Md.)

8:25-cv-01230",https://www.courtlistener.com/docket/69896743/american-educational-research-association-v-us-department-of-education/,Complaint,2025-04-14,,Temporary Block of Government Action Denied,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-06-12
"Harris County Texas v. Robert F Kennedy Jr (D.D.C.)

1:25-cv-01275",https://www.courtlistener.com/docket/69940313/harris-county-texas-v-robert-f-kennedy-jr/,Complaint,2025-04-24,,Government Action Temporarily Blocked in Part; Temporary Block Denied in Part,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-06-17
"Planned Parenthood of Greater New York v. Department of Health and Human Services (D.D.C.)

1:25-cv-01334",https://www.courtlistener.com/docket/70031478/planned-parenthood-of-greater-new-york-v-us-department-of-health-and/,Complaint,2025-05-01,,Case Closed,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-07-29
"City of Chicago v. United States Department of Homeland Security (N.D. Ill.)

1:25-cv-05462",https://www.courtlistener.com/docket/70282724/city-of-chicago-v-united-states-department-of-homeland-security/,"Complaint

Amended Complaint

2025-06-16",2025-05-16,,Awaiting Court Ruling,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-06-16
"City of Chicago v. United States Department of Homeland Security (N.D. Ill.)

1:25-cv-05463",https://www.courtlistener.com/docket/70282725/city-of-chicago-v-department-of-homeland-security/,Complaint,2025-05-16,,Government Action Temporarily Blocked in Part; Temporary Block Denied in Part,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-11-13
"American Association of Physicians for Human Rights v. National Institutes of Health (D. Md.)

8:25-cv-01620",https://www.courtlistener.com/docket/70320847/american-association-of-physicians-for-human-rights-inc-dba-glma/,Complaint,2025-05-20,,Government Action Temporarily Blocked,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-08-14
"VERA Institute of Justice v. U.S. Department of Justice (D.D.C.)

1:25-cv-01643",https://www.courtlistener.com/docket/70336266/vera-institute-of-justice-v-us-department-of-justice/,Complaint,2025-05-21,,Government Action Temporarily Blocked in Part; Temporary Block Denied in Part,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-11-25
"State of New York v. National Science Foundation (S.D.N.Y.)

1:25-cv-04452",https://www.courtlistener.com/docket/70390972/state-of-new-york-v-national-science-foundation/,Complaint,2025-05-28,State A.G. Plaintiffs,Case Closed/Dismissed in Favor of Government,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-08-22
"Shapiro v. Department of Agriculture (M.D. Pa.)

1:25-cv-00998",https://www.courtlistener.com/docket/70452516/shapiro-v-us-department-of-agriculture/,Complaint,2025-06-04,,Government Action Not Blocked Pending Appeal,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2026-01-02
"Urban Sustainability Directors Network v. United States Department Of Agriculture (D.D.C.)

1:25-cv-01775",https://www.courtlistener.com/docket/70464982/urban-sustainability-directors-network-v-united-states-department-of/,Complaint,2025-06-05,,Government Action Temporarily Blocked,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-12-05
"Rhode Island Coalition Against Domestic Violence v. Bondi (D.R.I.)

1:25-cv-00279",https://www.courtlistener.com/docket/70551604/rhode-island-coalition-against-domestic-violence-v-bondi/,Complaint,2025-06-16,,Government Action Temporarily Blocked,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-11-19
"Rhode Island Coalition Against Domestic Violence v. Kennedy (D.R.I.)

1:25-cv-00342",https://www.courtlistener.com/docket/70865884/rhode-island-coalition-against-domestic-violence-v-kennedy-jr/,"Complaint 2025-07-21




Amended Complaint 2025-09-15",2025-07-21,,Government Action Temporarily Blocked,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2026-01-05
"American Association of Physics Teachers v. National Science Foundation (D.D.C.)

1:25-cv-01923",https://www.courtlistener.com/docket/70576237/american-association-of-physics-teachers-inc-v-national-science/,Complaint,2025-06-18,,Awaiting Court Ruling,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-09-10
"Board of Education for the Silver Consolidated Schools v. McMahon (D.N.M.)

2:25-cv-00586",https://www.courtlistener.com/docket/70599333/board-of-education-for-the-silver-consolidated-schools-v-mcmahon/,Complaint,2025-06-20,,Case Closed/Dismissed in Favor of Government,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-09-05
"State of New Jersey v. U.S. Office of Management and Budget (D. Mass.)

1:25-cv-11816",https://www.courtlistener.com/docket/70622367/state-of-new-jersey-v-us-office-of-management-and-budget/,"Complaint




Amended Complaint 2025-07-31",2025-06-24,State A.G. Plaintiffs,Awaiting Court Ruling,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-07-31
"National Fair Housing Alliance v. Department of Housing and Urban Development (D.D.C.)

1:25-cv-01965",https://www.courtlistener.com/docket/70620442/national-fair-housing-alliance-v-department-of-housing-and-urban/,Complaint,2025-06-24,,Government Action Temporarily Blocked,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-11-25
"State of Washington v. United States Department of Education (W.D. Wash.)

2:25-cv-01228",https://www.courtlistener.com/docket/70679500/state-of-washington-v-united-states-department-of-education/,Complaint,2025-06-30,State A.G. Plaintiffs,Government Action Blocked,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2026-01-23
"Launch Alaska v. Department of Navy, Office of Naval Research (D. Alaska)

3:25-cv-00141",https://www.courtlistener.com/docket/70683995/launch-alaska-v-department-of-the-navy-office-of-naval-research/,Complaint,2025-07-01,,Case Closed/Dismissed in Favor of Government,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-10-03
"Association of American Universities v. National Science Foundation (D. Mass.)

1:25-cv-11231",https://www.courtlistener.com/docket/70143919/association-of-american-universities-v-national-science-foundation/,Complaint,2025-05-05,,Government Action Blocked,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-09-30
"Right to be v. Bondi (D.D.C.)

1:25-cv-03248",https://www.courtlistener.com/docket/71433106/right-to-be-v-bondi/,Complaint,2025-07-02,,Government Action Temporarily Blocked,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-10-04
"State of Washington v. Federal Emergency Management Agency (D. Mass.)

1:25-cv-12006",https://www.courtlistener.com/docket/70807946/state-of-washington-v-federal-emergency-management-agency/,Complaint,2025-07-16,State A.G. Plaintiffs,Government Action Blocked,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-12-11
"California High-Speed Rail Authority v. United States Department of Transportation (E.D. Cal.)

2:25-at-00931",https://www.courtlistener.com/docket/70834344/california-high-speed-rail-authority-v-united-states-department-of/,Complaint,2025-07-17,,Case Closed/Dismissed in Favor of Government,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-12-23
"State of New York v. U.S. Department of Justice (D.R.I.)

1:25-cv-00345",https://www.courtlistener.com/docket/70869382/state-of-new-york-v-us-department-of-justice/,"Complaint 2025-07-21




Amended Complaint 2025-08-15




Second Amended Complaint 2025-09-23




Third Amended Complaint 2025-12-4",2025-07-21,State A.G. Plaintiffs,Government Action Temporarily Blocked,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-12-11
"Anchorage School District v. U.S. Department of Education (D.R.I.)

1:25-cv-00347",https://www.courtlistener.com/docket/70873172/anchorage-school-district-v-us-department-of-education/,Complaint,2025-07-21,,Case Closed,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-09-12
"State of Washington v. U.S. Department of Homeland Security (W.D. Wash.)

2:25-cv-01401",https://www.courtlistener.com/docket/70917556/state-of-washington-v-us-department-of-homeland-security/,Complaint,2025-07-25,State A.G. Plaintiffs,Awaiting Court Ruling,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-09-22
"Planned Parenthood of Greater New York v. U.S. Department of Health and Human Services (D.D.C.)

1:25-cv-02453",https://www.courtlistener.com/docket/70954395/planned-parenthood-of-greater-new-york-v-us-department-of-health-and/,Complaint,2025-07-29,,Government Action Blocked,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-10-07
"Oregon Council for the Humanities v. United States DOGE Service (D. Or.)

3:25-cv-00829",https://www.courtlistener.com/docket/70275737/oregon-council-for-the-humanities-v-united-states-doge-service/,Complaint,2025-05-15,,Government Action Temporarily Blocked,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-09-02
"State of Washington v. United States Department of Commerce (W.D. Wash.)

2:25-cv-01507",https://www.courtlistener.com/docket/71065919/state-of-washington-v-united-states-department-of-commerce/,Complaint,2025-08-08,State A.G. Plaintiffs,Case Closed,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2026-01-21
"State of New Jersey v. United States Department of Justice (D.R.I.)

1:25-cv-00404",https://www.courtlistener.com/docket/71135488/state-of-new-jersey-v-united-states-department-of-justice/,Complaint,2025-08-18,State A.G. Plaintiffs,Awaiting Court Ruling,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-10-03
"Woodmere Art Museum v. Trump (E.D. Pa.)

2:25-cv-04887",https://www.courtlistener.com/docket/71203569/woodmere-art-museum-inc-v-trump/,Complaint,2025-08-26,,Case Closed,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-09-05
"Fairfax County School Board v. McMahon (E.D. Va.)

1:25-cv-01432",https://www.courtlistener.com/docket/71230470/fairfax-county-school-board-v-mcmahon-in-her-official-capacity-as-us/,Complaint,2025-09-02,,Government Action Not Blocked Pending Appeal,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2026-01-16
"State of New York v. United States Department of Justice (D.R.I.)

1:25-cv-00499",https://www.courtlistener.com/docket/71516975/state-of-new-york-v-united-states-department-of-justice/,Complaint,2025-10-01,State A.G. Plaintiffs,Case Closed,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-12-17
"Rhode Island AFL-CIO et al. v. United States Environmental Protection Agency (D.R.I.)

1:25-cv-00510",https://www.courtlistener.com/docket/71560315/rhode-island-afl-cio-v-united-states-environmental-protection-agency/,Complaint,2025-10-06,,Awaiting Court Ruling,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-12-17
"National Digital Inclusion Alliance v. Trump (D.D.C.)

1:25-cv-03606",https://www.courtlistener.com/docket/71577961/national-digital-inclusion-alliance-v-trump/,Complaint,2025-10-07,,Awaiting Court Ruling,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-12-04
"Freedom Network, USA v. Trump (N.D. Ill.)

1:25-cv-12419",https://www.courtlistener.com/docket/71610372/freedom-network-usa-v-president-donald-j-trump/,Complaint,2025-10-10,,Awaiting Court Ruling,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2026-01-23
"City of Seattle v. Trump et al (W.D. Wash.)

2:25-cv-01435",https://www.courtlistener.com/docket/70977516/city-of-seattle-v-trump/,Complaint,2025-07-31,,Government Action Temporarily Blocked,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-12-29
"State of Illinois v. Federal Emergency Management Agency (D.R.I.)

1:25-cv-00206",https://www.courtlistener.com/docket/70251276/state-of-illinois-v-federal-emergency-management-agency/,"Complaint

Amended Complaint

2025-07-02",2025-05-13,State A.G. Plaintiffs,Government Action Blocked,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-10-14
"The Board of Education of The City School District of The City of New York v. United States Department of Education (S.D.N.Y.)

1:25-cv-08547",https://www.courtlistener.com/docket/71659617/the-board-of-education-of-the-city-school-district-of-the-city-of-new-york/,Complaint,2025-10-15,,Awaiting Court Ruling,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2026-02-13
"Housing Authority of the County of San Diego v. Turner (N.D. Cal.)

4:25-cv-08859",https://www.courtlistener.com/docket/71661089/housing-authority-of-the-city-and-county-of-san-francisco-v-turner/,Complaint,2025-10-15,,Government Action Temporarily Blocked,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2026-01-12
"Norman v. Trump (D. Md.)

1:25-cv-03414",https://www.courtlistener.com/docket/71658061/norman-v-trump/,Complaint,2025-10-16,,Awaiting Court Ruling,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-10-15
"Council for Opportunity in Education v. U.S. Department of Education (D.D.C.)

1:25-cv-03491",https://www.courtlistener.com/docket/71495173/council-for-opportunity-in-education-v-us-department-of-education/,Complaint,2025-09-29,,Government Action Temporarily Blocked,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2026-01-16
"Council for Opportunity in Education v. U.S. Department of Education (D.D.C.)

1:25-cv-03514",https://www.courtlistener.com/docket/71506962/council-for-opportunity-in-education-v-us-department-of-education/,Complaint,2025-09-30,,Government Action Temporarily Blocked,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2026-01-16
"Jones v. U.S. Department of Labor (D. Mass.)

1:25-cv-12653",https://www.courtlistener.com/docket/71383010/jones-v-us-department-of-labor/,Complaint,2025-09-18,,Case Closed,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-11-25
"Chicago v. Noem (N.D. Ill.)

1:25-cv-12765",https://www.courtlistener.com/docket/71698211/chicago-v-noem/,Complaint,2025-10-20,,Government Action Temporarily Blocked,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-11-21
"McKinleyville Union School District v. U.S. Department of Education (N.D. Cal.)

4:25-cv-09105",https://www.courtlistener.com/docket/71727525/mckinleyville-union-school-district-v-us-department-of-education/,complaint,2025-10-22,,Awaiting Court Ruling,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-12-29
"Urban Justice Center-Safety Net Project v. Rollins (S.D.N.Y.)

1:25-cv-08869",https://www.courtlistener.com/docket/71771421/urban-justice-center-safety-net-project-ujc-snp-v-rollins/,Complaint,2025-10-27,,Case Closed/Dismissed in Favor of Government,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-10-31
"Commonwealth of Massachusetts v. United States Department of Agriculture (D. Mass.)

1:25-cv-13165",https://www.courtlistener.com/docket/71783393/commonwealth-of-massachusetts-v-united-states-department-of-agriculture/,Complaint,2025-10-28,State A.G. Plaintiffs,Government Action Temporarily Blocked,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-11-12
"City and County of San Francisco v. United States Department of Justice (N.D. Cal.)

3:25-cv-09277",https://www.courtlistener.com/docket/71788745/city-and-county-of-san-francisco-v-united-states-department-of-justice/,Complaint,2025-10-28,,Government Action Temporarily Blocked,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2026-01-21
"Rhode Island State Council of Churches v. Rollins (D.R.I.)

1:25-cv-00569",https://www.courtlistener.com/docket/71820142/rhode-island-state-council-of-churches-v-rollins/,Complaint,2025-10-30,,Government Action Temporarily Blocked,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-12-04
"State of Michigan v. Noem (D. Or.)

6:25-cv-02053",https://www.courtlistener.com/docket/71872603/state-of-michigan-v-noem/,Complaint,2025-11-04,State A.G. Plaintiffs,Government Action Blocked,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-12-23
"City of Saint Paul v. Wright (D.D.C.)

1:25-cv-03899",https://www.courtlistener.com/docket/71894043/city-of-saint-paul-minnesota-v-wright/,Complaint,2025-11-10,,Case Closed in Favor of Plaintiff,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2026-01-12
"City of Chicago v. Department of Justice (N.D. Ill.)

1:25-cv-13863",https://www.courtlistener.com/docket/71901645/city-of-chicago-v-department-of-justice/,Complaint,2025-11-12,,Awaiting Court Ruling,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-11-12
"State of Washington v. United States Department of Housing and Urban Development (D.R.I.)

1:25-cv-00626",https://www.courtlistener.com/docket/71959540/state-of-washington-v-united-states-department-of-housing-and-urban/?order_by=desc&utm_campaign=lawsuits-related-to-trump-admin-actions&utm_medium=referral&utm_source=www.courtwatch.news,"Complaint

Amended Complaint

2025-12-11",2025-11-25,State A.G. Plaintiffs,Awaiting Court Ruling,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-12-23
"State of New York v. Rollins (D. Or.)

6:25-cv-02186",https://www.courtlistener.com/docket/71966888/state-of-new-york-v-rollins/,Complaint,2025-11-26,State A.G. Plaintiffs,Government Action Temporarily Blocked,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2026-01-30
"National Alliance to End Homelessness v. United States Department of Housing and Urban Development (D.R.I.)

1:25-cv-00636",https://www.courtlistener.com/docket/71978322/national-alliance-to-end-homelessness-v-united-states-department-of/,Complaint,2025-12-01,,Government Action Temporarily Blocked,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-12-23
"State of California v. United States Department of Transportation (N.D. Cal.)

3:25-cv-10656",https://www.courtlistener.com/docket/72032243/state-of-california-v-united-states-department-of-transportation/,Complaint,2025-12-12,State A.G. Plaintiffs,Awaiting Court Ruling,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-12-12
"State of California v. United States Department of Transportation (W.D. Wash.)

2:25-cv-02574",https://www.courtlistener.com/docket/72042658/state-of-california-v-united-states-department-of-transportation/,Complaint,2025-12-16,State A.G. Plaintiffs,Awaiting Court Ruling,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2026-02-11
"Climate Solutions v. U.S. Department of Transportation (W.D. Wash.)

2:25-cv-02578",https://www.courtlistener.com/docket/72045202/climate-solutions-v-department-of-transportation-us/,Complaint,2025-12-16,,Awaiting Court Ruling,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2026-02-11
"Institute for Applied Ecology v. Burgum (D. Or.)

6:25-cv-02364",https://www.courtlistener.com/docket/72058106/institute-for-applied-ecology-v-burgum/,Complaint,2025-12-18,,Awaiting Court Ruling,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-12-18
"American Academy of Pediatrics v. Department of Health and Human Services (D.D.C.)

1:25-cv-04505",https://www.courtlistener.com/docket/72079033/american-academy-of-pediatrics-v-department-of-health-and-human-services/,Complaint,2025-12-24,,Government Action Temporarily Blocked,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2026-01-11
"Brighton Park Neighborhood Council v. McMahon (D.D.C.)

1:25-cv-04523",https://www.courtlistener.com/docket/72085355/brighton-park-neighborhood-council-v-mcmahon/,Complaint,2025-12-29,,Awaiting Court Ruling,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-12-29
"State of Maryland v. United States Department of Education (D. Md.)

1:25-cv-04298",https://www.courtlistener.com/docket/72092158/state-of-maryland-v-united-states-department-of-education/,Complaint,2025-12-30,State A.G. Plaintiffs,Awaiting Court Ruling,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-12-30
"State of New York v. Administration for Children and Families (S.D.N.Y.)

1:26-cv-00172",https://www.courtlistener.com/docket/72123419/state-of-new-york-v-administration-for-children-and-families/,Complaint,2026-01-08,State A.G. Plaintiffs,Government Action Temporarily Blocked,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2026-02-06
"State of New York et al v. U.S. Department of Health and Human Services (D.R.I)

1:26-cv-00022",https://www.courtlistener.com/docket/72136009/state-of-new-york-v-us-department-of-health-and-human-services/,Complaint,2026-01-13,State A.G. Plaintiffs,Awaiting Court Ruling,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2026-01-13
"National Family Planning and Reproductive Health Association v. Kennedy (D.D.C.)

1:25-cv-01265",https://www.courtlistener.com/docket/69936371/national-family-planning-and-reproductive-health-association-v-kennedy/,Complaint,2025-04-24,,Case Closed in Favor of Plaintiff,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2026-01-13
"Porwancher v. National Endowment for the Humanities (D.D.C.)

1:25-cv-01180",https://www.courtlistener.com/docket/69911708/porwancher-v-national-endowment-for-the-humanities/,"Complaint

Amended Complaint

2025-06-02

Second Amended Complaint

2026-01-06",2025-04-16,,Awaiting Court Ruling,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-07-25
"Gateway Development Commission v. United States (Fed. Cl.)

1:26-cv-00176",https://www.courtlistener.com/docket/72224347/gateway-development-commission-v-united-states/,Complaint,2026-02-02,,Awaiting Court Ruling,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2026-02-02
"New Jersey v. Department of Transportation (S.D.N.Y.)

1:26-cv-00939",https://www.courtlistener.com/docket/72228444/state-of-new-jersey-v-united-states-department-of-transportation/,Complaint,2026-02-03,State A.G. Plaintiffs,Government Action Not Blocked Pending Appeal,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2026-02-11
"County of Santa Clara v. Noem (N.D. Cal.)

3:25-cv-08330",https://www.courtlistener.com/docket/71508891/county-of-santa-clara-v-noem/,Complaint,2025-09-30,,Government Action Temporarily Blocked,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2026-01-22
"City of Fresno v. Turner (N.D. Cal.)

3:25-cv-07070",https://www.courtlistener.com/docket/71160717/city-of-fresno-v-turner/,Complaint,2025-08-20,,Awaiting Court Ruling,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2025-08-20
"State of California v. U.S. Department of Education (N.D. Cal.)

3:26-cv-01259",https://www.courtlistener.com/docket/72264974/state-of-california-v-us-department-of-education/,Complaint,2026-02-11,State A.G. Plaintiffs,Government Action Temporarily Blocked,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2026-02-12
"Confederated Tribes of the Colville Reservation v. National Oceanic and Atmospheric Administration (E.D. Wash.)

2:26-cv-00061",https://www.courtlistener.com/docket/72228510/confederated-tribes-of-the-colville-reservation-v-national-oceanic-and/,Complaint,2026-02-03,,Awaiting Court Ruling,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2026-02-03
"City of Fresno v. Noem (N.D. Cal.)

3:26-cv-01535",https://www.courtlistener.com/docket/72310176/city-of-fresno-v-noem/,Complaint,2026-02-20,,Awaiting Court Ruling,"Government Grants, Loans, and Assistance",Denial of Federal Grants,2026-02-20
"RFE/RL, Inc. v. Lake (D.D.C.)

1:25-cv-00799",https://www.courtlistener.com/docket/69752936/rferl-inc-v-lake/,"Complaint




Amended Complaint

2025-04-14",2025-03-18,,Government Action Temporarily Blocked,"Government Grants, Loans, and Assistance",Governance and Defunding Global Media and Global Internet Freedom (Executive Order 14217 - Commencing the Reduction of the Federal Bureaucracy) (Executive Order 14238 - Continuing the Reduction of the Federal Bureaucracy) (Executive Order 14290 - Ending Taxpayer Subsidization of Biased Media),2025-08-27
"Open Technology Fund v. Kari Lake (D.D.C.)

1:25-cv-00840",https://www.courtlistener.com/docket/69765042/open-technology-fund-v-lake/,Complaint,2025-03-20,,Government Action Temporarily Blocked,"Government Grants, Loans, and Assistance",Governance and Defunding Global Media and Global Internet Freedom (Executive Order 14217 - Commencing the Reduction of the Federal Bureaucracy) (Executive Order 14238 - Continuing the Reduction of the Federal Bureaucracy) (Executive Order 14290 - Ending Taxpayer Subsidization of Biased Media),2026-01-26
"Widakuswara v. Kari Lake (D.D.C.)

1:25-cv-01015",https://www.courtlistener.com/docket/69846584/widakuswara-v-lake/,Complaint,2025-03-21,,Government Action Temporarily Blocked,"Government Grants, Loans, and Assistance",Governance and Defunding Global Media and Global Internet Freedom (Executive Order 14217 - Commencing the Reduction of the Federal Bureaucracy) (Executive Order 14238 - Continuing the Reduction of the Federal Bureaucracy) (Executive Order 14290 - Ending Taxpayer Subsidization of Biased Media),2025-09-29
"Abramowitz v. Lake (D.D.C.)

1:25-cv-00887",https://www.courtlistener.com/docket/69791808/abramowitz-v-lake/,Complaint,2025-03-26,,Government Action Blocked Pending Appeal,"Government Grants, Loans, and Assistance",Governance and Defunding Global Media and Global Internet Freedom (Executive Order 14217 - Commencing the Reduction of the Federal Bureaucracy) (Executive Order 14238 - Continuing the Reduction of the Federal Bureaucracy) (Executive Order 14290 - Ending Taxpayer Subsidization of Biased Media),2025-10-06
"Radio Free Asia v. United States (D.D.C.)

1:25-cv-00907",https://www.courtlistener.com/docket/69800762/radio-free-asia-v-united-states-of-america/,Complaint,2025-03-27,,Government Action Blocked Pending Appeal,"Government Grants, Loans, and Assistance",Governance and Defunding Global Media and Global Internet Freedom (Executive Order 14217 - Commencing the Reduction of the Federal Bureaucracy) (Executive Order 14238 - Continuing the Reduction of the Federal Bureaucracy) (Executive Order 14290 - Ending Taxpayer Subsidization of Biased Media),2025-09-22
"Middle East Broadcasting Networks v. United States (D.D.C.)

1:25-cv-00966",https://www.courtlistener.com/docket/69832711/middle-east-broadcasting-networks-inc-v-united-states-of-america/,Complaint,2025-04-01,,Government Action Blocked Pending Appeal,"Government Grants, Loans, and Assistance",Governance and Defunding Global Media and Global Internet Freedom (Executive Order 14217 - Commencing the Reduction of the Federal Bureaucracy) (Executive Order 14238 - Continuing the Reduction of the Federal Bureaucracy) (Executive Order 14290 - Ending Taxpayer Subsidization of Biased Media),2025-09-22
